,location,year,km,fuel,gears,owners,kmpl,engine_size,power,seats,price
1,11,2015,41000,1,0,1,19.67,1582.0,126.2,5.0,1250000.0
2,3,2011,46000,0,0,1,18.2,1199.0,88.7,5.0,450000.0
3,3,2012,87000,1,0,1,20.77,1248.0,88.76,7.0,600000.0
4,4,2013,40670,1,1,2,15.2,1968.0,140.8,5.0,1773999.9999999998
6,7,2013,86999,1,0,1,23.08,1461.0,63.1,5.0,350000.0
7,10,2016,36000,1,1,1,11.36,2755.0,171.5,8.0,1750000.0
8,11,2013,64430,1,0,1,20.54,1598.0,103.6,5.0,520000.0
10,8,2018,25692,0,0,1,21.56,1462.0,103.25,5.0,994999.9999999999
11,9,2012,60000,0,1,1,16.8,1497.0,116.3,5.0,449000.0
12,7,2015,64424,1,0,1,25.2,1248.0,74.0,5.0,560000.0
13,5,2014,72000,1,1,1,12.7,2179.0,187.7,5.0,2700000.0
15,5,2014,110000,1,0,1,13.5,2477.0,175.56,7.0,1500000.0
17,7,2017,25000,1,0,1,28.4,1248.0,74.0,5.0,599000.0
18,8,2014,77469,1,0,1,20.45,1461.0,83.8,5.0,634000.0
19,2,2014,78500,1,1,1,14.84,2143.0,167.62,5.0,2800000.0
20,8,2014,32982,1,1,1,22.69,1995.0,190.0,5.0,1855000.0
21,2,2015,55392,1,0,2,23.65,1248.0,88.5,5.0,825000.0
22,10,2015,55985,0,1,1,13.53,1984.0,177.01,5.0,2350000.0
23,9,2010,45807,0,0,1,18.5,1197.0,80.0,5.0,187000.0
24,9,2010,33000,0,1,1,14.4,1598.0,103.6,5.0,285000.0
25,10,2012,51920,0,0,1,16.8,1497.0,116.3,5.0,425000.0
26,6,2012,54000,1,0,1,23.08,1461.0,63.1,5.0,425000.0
27,6,2013,54000,0,0,2,20.92,998.0,67.1,5.0,275000.0
28,8,2018,37430,0,0,1,17.5,1199.0,88.7,5.0,990000.0
30,2,2013,62000,1,0,1,19.01,1461.0,108.45,5.0,775000.0
31,5,2012,87615,0,0,1,14.53,1798.0,138.1,5.0,675000.0
32,2,2013,72000,1,1,2,11.18,2696.0,184.0,7.0,1250000.0
33,9,2010,35000,1,1,1,12.4,2698.0,179.5,5.0,1150000.0
34,4,2014,55431,0,0,2,16.09,1598.0,103.5,5.0,698000.0
35,7,2009,83816,0,0,2,14.0,1061.0,64.0,5.0,185000.0
38,11,2013,85000,1,1,1,11.74,2987.0,254.8,5.0,2800000.0
39,3,2013,62000,1,0,1,22.07,1199.0,73.9,5.0,500000.0
40,5,2008,90000,0,0,2,19.7,796.0,46.3,5.0,125000.0
41,8,2014,19698,0,0,1,25.4,624.0,37.5,4.0,153000.0
42,4,2017,22033,1,0,1,25.32,1198.0,77.0,6.0,558000.0
43,8,2014,35487,0,0,1,18.5,1197.0,82.9,5.0,474000.0
44,2,2014,46374,0,1,1,14.62,1999.0,149.92,5.0,885000.0
45,10,2016,52001,0,1,1,14.28,1798.0,138.03,5.0,1011000.0
46,1,2008,58005,1,0,2,14.9,1991.0,112.2,5.0,425000.0
47,2,2012,70704,0,0,1,11.25,2694.0,163.7,7.0,1095000.0
48,7,2014,75000,1,0,1,24.4,1120.0,71.0,5.0,385000.0
49,7,2012,75800,1,0,2,16.55,2498.0,105.0,6.0,550000.0
50,8,2015,13648,1,1,1,17.11,1968.0,174.33,5.0,2143000.0
51,5,2014,52000,1,0,1,22.9,1248.0,74.0,5.0,425000.0
52,9,2014,53000,1,0,1,17.8,1248.0,75.0,5.0,330000.0
53,5,2013,65650,1,0,1,28.4,1248.0,74.0,5.0,385000.0
54,3,2015,54000,0,0,3,18.9,1197.0,82.0,5.0,360000.0
55,9,2015,39000,0,0,1,15.04,1598.0,103.2,5.0,399000.0
56,8,2017,16542,0,0,1,25.17,799.0,53.3,5.0,330000.0
57,9,2010,32000,0,0,1,20.36,1197.0,78.9,5.0,206999.99999999997
58,6,2010,121812,1,1,1,13.29,1995.0,147.6,5.0,775000.0
59,6,2010,39300,0,0,1,18.2,998.0,67.1,5.0,225000.0
60,10,2017,22000,1,0,1,13.68,2393.0,147.8,8.0,1650000.0
62,5,2015,58000,0,1,1,11.74,1796.0,186.0,5.0,2670000.0
63,11,2011,65000,1,0,2,15.8,2148.0,170.0,5.0,1000000.0
64,3,2016,178000,1,0,1,25.0,1396.0,69.0,5.0,250000.0
65,7,2012,65664,1,1,1,16.55,1968.0,140.0,5.0,1350000.0
66,10,2007,63000,0,1,2,16.4,1497.0,78.0,5.0,185000.0
68,11,2016,63000,1,0,1,24.52,1248.0,88.5,7.0,815000.0
69,10,2018,13000,1,0,1,22.1,1396.0,88.7,5.0,1050000.0
70,10,2008,73000,0,1,1,8.5,4806.0,500.0,5.0,1450000.0
71,10,2015,55729,1,0,1,15.1,2179.0,140.0,7.0,965000.0
72,8,2012,45178,0,1,1,16.95,1197.0,78.9,5.0,348000.0
73,8,2015,56066,1,0,1,19.64,1461.0,108.5,5.0,692000.0
74,4,2016,37300,0,1,2,16.5,1198.0,86.8,5.0,646000.0
75,5,2014,56000,1,1,2,18.53,1968.0,187.74,5.0,2950000.0
77,3,2006,230000,0,0,3,12.4,1998.0,132.0,8.0,450000.0
78,6,2012,104000,1,0,1,12.8,2494.0,102.0,7.0,1175000.0
80,7,2012,95100,1,0,1,22.9,1248.0,74.0,5.0,375000.0
81,11,2017,70000,0,0,1,17.57,1193.0,88.7,5.0,450000.0
82,8,2016,54944,0,0,1,18.0,1198.0,86.7,5.0,482000.0
84,7,2013,99638,1,0,1,23.2,1248.0,73.94,5.0,311000.0
85,5,2009,52000,0,0,1,17.8,1497.0,117.3,5.0,325000.0
86,5,2011,75000,1,1,2,16.73,1995.0,218.0,5.0,1390000.0
87,11,2009,95980,0,0,1,20.36,1197.0,78.9,5.0,225000.0
88,2,2016,16000,0,0,1,18.9,1197.0,82.0,5.0,575000.0
90,10,2016,18949,0,0,1,17.8,1198.0,86.7,5.0,500000.0
91,5,2014,107000,1,0,1,13.0,2982.0,168.5,7.0,1650000.0
92,4,2018,48367,1,1,1,17.68,1968.0,174.33,5.0,3958000.0
